INSTITUTE_NAME,Latitude,Longitude,Unnamed: 3
RANIPUR KHONTAKATA DARUSSUNNAT JUNIOR SCHOOL,22.1560308,90.1230443,✅ Valid
KARUNA MOKAMIA KAMIL MADRASHA,22.3719917,90.1477409,✅ Valid
CHHOPKHALI ZAHUR UDDIN FAZIL MADRASAHA,22.3377008,90.1641102,✅ Valid
RAHMATPUR ALIM MADRSAHA,22.4214296,90.2142494,✅ Valid
BIBICHINI DESHANTARKATI DAKHIL MADRASAH,22.4740807,90.1935273,✅ Valid
KATHAL TALI NESARIA DAKHIL MADRASAH,22.3931146,89.9620628,✅ Valid
DESHANTARKATTHI DARUR RAHMAT DAKHIL MADRASAH,22.1716894,90.26357,✅ Valid
KAZIRABAD ISLAMIA DAKHIL MADRASHA,23.6889093,90.5295576,✅ Valid
GABTOLI ISLAMIA DAKHIL MADRASAH,22.227492,90.0861901,✅ Valid
BETAGI SHALEHIA ALIM MADRASAH,22.4151732,90.164892,✅ Valid
GRAMORDON HASHANIA DAKHIL MADRASAHA,22.2636106,90.1433198,✅ Valid
RANIPUR GORIABDUNIA ESHAKIA ALIM MADRASAH,23.6631502,90.5564196,✅ Valid
DAKHIN BARA MOKAMIA TAHEERIA GIRLS DAKHIL MADRASAH,23.3542544,89.2358983,✅ Valid
FULTALA MOHAMMADIA ALIM AMDRASAH,22.4558463,90.1986798,✅ Valid
DAKHIN BETAGI NADERIA DAKHIL MADRASAH,22.3936778,90.1634287,✅ Valid
ALHAZ MAYZUDDIN MRIDHA  DAKHIL MADRASAH,24.8588804,89.9076793,✅ Valid
KARUNA GRILS DAKHIL MADRASAH,22.372132,90.1531032,✅ Valid
KARUNA HASANIA ALIM MADRASAHA,22.3471371,90.12961,✅ Valid
DARUL ISLAM MOHILA ALIM MADRASHA,22.4102586,90.1701664,✅ Valid
R.L.G. F. ISLAMIA MAHILA DAKHIL MADRASAH,22.0216675,89.9488577,✅ Valid
KAUNIA COLLEGE,22.3149842,90.1350559,✅ Valid
CHANDKHALI MOSHARRAF HOSSAIN COLLEGE,23.7063899,90.5308548,✅ Valid
GOVT. BETAGI COLLEGE,22.4141607,90.1658856,✅ Valid
DR. ASMAT ALI COLLEGE,22.1605051,90.1200636,✅ Valid
BETAGI  GIRLS  HIGHER   SECONDARY  SCHOOL,22.4141607,90.1658856,✅ Valid
KALMEGHA MUSLIM SECONDARY SCHOOL AND COLLEGE,22.0899864,90.0002335,✅ Valid
MANIKKHALI RAHMANIA HIGH SCHOOL,22.1306814,89.9606907,✅ Valid
ANOWER HOSSIN GIRL'S HIGH SCHOOL,23.6958611,90.0680473,✅ Valid
PATHARGHATA K. M. GOVT. HIGH SCHOOL,22.1576778,90.1207363,✅ Valid
KAKCHIRA SECONDARY SCHOOL,22.1811448,90.0162136,✅ Valid
PATHARGHATA ADARSHA GIRLS HIGH SCHOOL,22.0426239,89.9695123,✅ Valid
TASLIMA MEMORIAL ACADEMY,22.0444602,89.970432,✅ Valid
CHARDUANI HIGH SCHOOL AND COLLEGE,22.1193599,89.9296037,✅ Valid
LEMUA ADARSHA SECONDARY SCHOOL,22.1849107,89.988361,✅ Valid
NACHNAPARA MANIKKHALI HIGH SCHOOL,22.1618283,89.9617378,✅ Valid
KATHALTALI SAPTAGRAM HIGH SCHOOL AND COLLEGE,22.4596862,90.2785844,✅ Valid
K.K. AZIZIA HIGH SCHOOL,22.0387049,89.9695916,✅ Valid
RUPDHAN BANDAR AMIRIA SECONDARY SCHOOL,22.1546912,90.1056242,✅ Valid
HATEMPUR SECONDARY SCHOOL,22.0596715,89.9432105,✅ Valid
HOGLAPASHA  SURENDRANATH HIGH SCHOOL,22.1560308,90.1230443,✅ Valid
MADERTALI HIGH SCHOOL,22.2070625,90.0155625,✅ Valid
HARITANA  ADARSA SECONDARY SCHOOL,22.0134151,89.956563,✅ Valid
KIRANPUR HIGH SCHOOL AND COLLEGE,22.1286567,89.9869705,✅ Valid
SONARBANGLA HIGH SCHOOL,22.2010218,90.2116562,✅ Valid
BAIN CHATKI SECONDARY SCHOOL,22.1572455,90.1146166,✅ Valid
RUHITA  HIGH SCHOOL,22.026195,89.9325277,✅ Valid
TALUKCHARDUANI SECONDARY SCHOOL,22.1572455,90.1146166,✅ Valid
GNANPARA KHALIFAR HAT HIGH SCHOOL,22.8324731,91.0236895,✅ Valid
H.K.B JUNIOR GIRLS HIGH SCHOOL,22.1576778,90.1207363,✅ Valid
BARI AZAD SECONDARY SCHOOL,22.0132618,89.9638374,✅ Valid
D.SAYEDA FIROJA BEGUM SECONDARY GIRLS SCHOOL,22.1832323,89.9932007,✅ Valid
PUTHIMARA NACHNAPARA ALIM MADRASHA,22.1549419,89.9720133,✅ Valid
RUPDHAN KAKCHIRA NESARIA DAKHIL MADRASAH,22.1549419,90.0279867,✅ Valid
HARITANA SALEHIA DAKHIL MADRASHA,22.0480131,90.1863976,✅ Valid
PATHARGHATA SIDDIQUIA FAZIL MADRASAH,22.3799375,89.2171875,✅ Valid
TAFALBARIA SALAMIA DAKHIL MADRASAH,22.0700421,89.9111385,✅ Valid
DARUL ISLAM NESARIA DAKHIL MADRASHA,22.2636106,90.1433198,✅ Valid
RAIHANPUR SINIOR MADRASHA,22.1605051,90.1200636,✅ Valid
KALMEGHA DAKHIL MADRASAH,22.0480131,90.1863976,✅ Valid
KALIBARI K.D.S DAKHIL MADRASAH,22.1919776,90.1796457,✅ Valid
JALIAGHATA KASEMIA DAKHIL MADRASAH,24.6387748,90.6469907,✅ Valid
NIZLATHI MARA DARUS SUNNAT ALIM MADRASAH,22.1595423,90.1157453,✅ Valid
CHOTO PATHAR GHATA DAKHIL MADRASHA,24.4184117,89.9971446,✅ Valid
DHAKHIN TALUKER CHARDUANI NASARIA DAKHIL MADRASHA,22.3931146,89.9620628,✅ Valid
